 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element:  H,  Z =   1,  atomic weight = 1.00790E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.07281E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  1
 #
 # Total elastic cross section = 1.10035E-20 cm**2 = 3.92943E-04 a0**2
 # 1st transport cross section = 9.95317E-26 cm**2 = 3.55434E-09 a0**2
 # 2nd transport cross section = 2.87000E-25 cm**2 = 1.02489E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  1.88359E-15  6.72641E+01  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.88201E-15  6.72077E+01  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.88036E-15  6.71488E+01  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.87865E-15  6.70877E+01  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.87687E-15  6.70243E+01  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.87503E-15  6.69585E+01  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.87312E-15  6.68904E+01  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.87115E-15  6.68201E+01  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.86912E-15  6.67475E+01  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.86702E-15  6.66725E+01  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.86486E-15  6.65954E+01  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.86264E-15  6.65162E+01  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.86035E-15  6.64343E+01  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.85800E-15  6.63505E+01  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.85560E-15  6.62646E+01  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.85312E-15  6.61763E+01  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.85059E-15  6.60857E+01  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.84800E-15  6.59932E+01  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.81881E-15  6.49508E+01  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.78399E-15  6.37075E+01  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.74403E-15  6.22805E+01  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.69946E-15  6.06887E+01  0.00000E+00  1.0E-05
