 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: Fe,  Z =  26,  atomic weight = 5.58450E+01 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 4.08989E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons = 26
 #
 # Total elastic cross section = 1.98982E-18 cm**2 = 7.10577E-02 a0**2
 # 1st transport cross section = 5.85045E-23 cm**2 = 2.08923E-06 a0**2
 # 2nd transport cross section = 1.65644E-22 cm**2 = 5.91526E-06 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  3.39197E-13  1.21129E+04  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  3.38684E-13  1.20946E+04  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  3.38150E-13  1.20756E+04  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  3.37596E-13  1.20558E+04  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  3.37021E-13  1.20353E+04  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  3.36427E-13  1.20140E+04  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  3.35813E-13  1.19921E+04  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  3.35179E-13  1.19695E+04  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  3.34526E-13  1.19461E+04  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  3.33853E-13  1.19221E+04  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  3.33161E-13  1.18974E+04  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  3.32451E-13  1.18720E+04  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  3.31722E-13  1.18460E+04  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  3.30974E-13  1.18193E+04  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  3.30208E-13  1.17919E+04  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  3.29424E-13  1.17640E+04  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  3.28623E-13  1.17353E+04  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  3.27803E-13  1.17061E+04  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  3.18699E-13  1.13810E+04  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  3.08091E-13  1.10021E+04  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  2.96303E-13  1.05812E+04  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  2.83614E-13  1.01280E+04  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  2.70260E-13  9.65115E+03  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  2.56512E-13  9.16022E+03  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  2.42644E-13  8.66499E+03  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  2.28865E-13  8.17291E+03  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  2.15317E-13  7.68910E+03  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  2.02131E-13  7.21824E+03  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  1.89463E-13  6.76584E+03  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  1.77386E-13  6.33458E+03  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  1.65940E-13  5.92581E+03  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  1.55127E-13  5.53968E+03  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  1.45000E-13  5.17805E+03  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  1.35552E-13  4.84065E+03  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  1.26763E-13  4.52678E+03  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  1.18578E-13  4.23450E+03  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  1.11001E-13  3.96393E+03  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  1.03996E-13  3.71376E+03  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  9.75240E-14  3.48264E+03  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  9.15310E-14  3.26863E+03  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  8.59954E-14  3.07095E+03  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  8.08847E-14  2.88844E+03  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  7.61643E-14  2.71988E+03  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  7.17913E-14  2.56371E+03  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  6.77404E-14  2.41905E+03  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  6.39900E-14  2.28512E+03  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  6.05143E-14  2.16100E+03  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.72832E-14  2.04562E+03  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  5.42731E-14  1.93813E+03  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  5.14732E-14  1.83814E+03  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.88654E-14  1.74501E+03  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.64304E-14  1.65806E+03  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.41465E-14  1.57650E+03  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.20109E-14  1.50024E+03  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.65127E-14  9.46785E+02  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.72396E-14  6.15636E+02  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.17267E-14  4.18768E+02  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  8.16344E-15  2.91522E+02  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  5.73814E-15  2.04913E+02  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  4.10430E-15  1.46567E+02  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  2.99663E-15  1.07012E+02  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  2.22848E-15  7.95805E+01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.68459E-15  6.01577E+01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.29525E-15  4.62543E+01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  1.01325E-15  3.61838E+01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  8.05138E-16  2.87520E+01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  6.48925E-16  2.31735E+01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  5.29734E-16  1.89171E+01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  4.37583E-16  1.56264E+01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  3.65291E-16  1.30448E+01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  3.07877E-16  1.09945E+01  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.61520E-16  9.33905E+00  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  2.23793E-16  7.99181E+00  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.92784E-16  6.88445E+00  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.67066E-16  5.96605E+00  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.45486E-16  5.19539E+00  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  1.27290E-16  4.54562E+00  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  1.11868E-16  3.99488E+00  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  9.87179E-17  3.52528E+00  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  8.74103E-17  3.12148E+00  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  7.76532E-17  2.77305E+00  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  6.92097E-17  2.47152E+00  0.00000E+00  1.0E-05
