 #
 # Subroutine ELSEPA. Elastic scattering of electrons and positrons
 #                    by neutral atoms and positive ions
 #
 # Projectile: electron
 # Kinetic energy = 3.70000E+06 eV = 1.35973E+05 a.u.
 #
 # WARNING: High-energy factorization with free-atom DF screening.
 #          Absorption, polarization and exchange corrections are
 #          switched off.
 #          Phase shifts are calculated for the bare nucleus.
 #          Scattering amplitudes are not evaluated.
 #
 # Element: He,  Z =   2,  atomic weight = 4.00260E+00 g/mol
 #
 # Nuclear model: Fermi distribution
 #                Average radius = 1.69889E-13 cm
 #                Skin thickness = 5.46000E-14 cm
 #
 # Number of electrons =  2
 #
 # Total elastic cross section = 1.66994E-20 cm**2 = 5.96348E-04 a0**2
 # 1st transport cross section = 3.70057E-25 cm**2 = 1.32150E-08 a0**2
 # 2nd transport cross section = 1.06344E-24 cm**2 = 3.79763E-08 a0**2
 #
 #
 # Differential cross section:                       MU=(1-COS(THETA))/2
 #
 #  THETA        MU          DCS          DCS        Sherman      error
 #  (deg)                 (cm**2/sr)   (a0**2/sr)    function
 #----------------------------------------------------------------------
  5.750E-03  2.51785E-09  1.17982E-15  4.21320E+01  0.00000E+00  1.0E-05
  6.000E-03  2.74156E-09  1.17939E-15  4.21167E+01  0.00000E+00  1.0E-05
  6.250E-03  2.97478E-09  1.17894E-15  4.21007E+01  0.00000E+00  1.0E-05
  6.500E-03  3.21752E-09  1.17848E-15  4.20841E+01  0.00000E+00  1.0E-05
  6.750E-03  3.46978E-09  1.17799E-15  4.20669E+01  0.00000E+00  1.0E-05
  7.000E-03  3.73156E-09  1.17749E-15  4.20490E+01  0.00000E+00  1.0E-05
  7.250E-03  4.00286E-09  1.17697E-15  4.20305E+01  0.00000E+00  1.0E-05
  7.500E-03  4.28368E-09  1.17644E-15  4.20114E+01  0.00000E+00  1.0E-05
  7.750E-03  4.57402E-09  1.17588E-15  4.19916E+01  0.00000E+00  1.0E-05
  8.000E-03  4.87388E-09  1.17531E-15  4.19711E+01  0.00000E+00  1.0E-05
  8.250E-03  5.18326E-09  1.17472E-15  4.19501E+01  0.00000E+00  1.0E-05
  8.500E-03  5.50215E-09  1.17412E-15  4.19285E+01  0.00000E+00  1.0E-05
  8.750E-03  5.83057E-09  1.17349E-15  4.19061E+01  0.00000E+00  1.0E-05
  9.000E-03  6.16850E-09  1.17285E-15  4.18831E+01  0.00000E+00  1.0E-05
  9.250E-03  6.51596E-09  1.17219E-15  4.18596E+01  0.00000E+00  1.0E-05
  9.500E-03  6.87293E-09  1.17151E-15  4.18354E+01  0.00000E+00  1.0E-05
  9.750E-03  7.23942E-09  1.17081E-15  4.18105E+01  0.00000E+00  1.0E-05
  1.000E-02  7.61544E-09  1.17010E-15  4.17851E+01  0.00000E+00  1.0E-05
  1.250E-02  1.18991E-08  1.16202E-15  4.14966E+01  0.00000E+00  1.0E-05
  1.500E-02  1.71347E-08  1.15226E-15  4.11478E+01  0.00000E+00  1.0E-05
  1.750E-02  2.33223E-08  1.14086E-15  4.07408E+01  0.00000E+00  1.0E-05
  2.000E-02  3.04617E-08  1.12790E-15  4.02782E+01  0.00000E+00  1.0E-05
  2.250E-02  3.85531E-08  1.11347E-15  3.97626E+01  0.00000E+00  1.0E-05
  2.500E-02  4.75965E-08  1.09763E-15  3.91972E+01  0.00000E+00  1.0E-05
  2.750E-02  5.75917E-08  1.08050E-15  3.85853E+01  0.00000E+00  1.0E-05
  3.000E-02  6.85389E-08  1.06216E-15  3.79304E+01  0.00000E+00  1.0E-05
  3.250E-02  8.04380E-08  1.04271E-15  3.72360E+01  0.00000E+00  1.0E-05
  3.500E-02  9.32891E-08  1.02133E-15  3.64723E+01  0.00000E+00  1.0E-05
  3.750E-02  1.07092E-07  9.98682E-16  3.56636E+01  0.00000E+00  1.0E-05
  4.000E-02  1.21847E-07  9.76872E-16  3.48847E+01  0.00000E+00  1.0E-05
  4.250E-02  1.37554E-07  9.55987E-16  3.41389E+01  0.00000E+00  1.0E-05
  4.500E-02  1.54213E-07  9.30519E-16  3.32294E+01  0.00000E+00  1.0E-05
  4.750E-02  1.71823E-07  9.06354E-16  3.23665E+01  0.00000E+00  1.0E-05
  5.000E-02  1.90386E-07  8.83547E-16  3.15520E+01  0.00000E+00  1.0E-05
  5.250E-02  2.09900E-07  8.58646E-16  3.06628E+01  0.00000E+00  1.0E-05
  5.500E-02  2.30367E-07  8.32992E-16  2.97467E+01  0.00000E+00  1.0E-05
  5.750E-02  2.51785E-07  8.08999E-16  2.88899E+01  0.00000E+00  1.0E-05
  6.000E-02  2.74156E-07  7.85538E-16  2.80521E+01  0.00000E+00  1.0E-05
  6.250E-02  2.97478E-07  7.59284E-16  2.71145E+01  0.00000E+00  1.0E-05
  6.500E-02  3.21752E-07  7.34866E-16  2.62425E+01  0.00000E+00  1.0E-05
  6.750E-02  3.46978E-07  7.12158E-16  2.54316E+01  0.00000E+00  1.0E-05
  7.000E-02  3.73156E-07  6.87219E-16  2.45411E+01  0.00000E+00  1.0E-05
  7.250E-02  4.00286E-07  6.63081E-16  2.36791E+01  0.00000E+00  1.0E-05
  7.500E-02  4.28368E-07  6.40691E-16  2.28795E+01  0.00000E+00  1.0E-05
  7.750E-02  4.57402E-07  6.18290E-16  2.20795E+01  0.00000E+00  1.0E-05
  8.000E-02  4.87388E-07  5.95019E-16  2.12485E+01  0.00000E+00  1.0E-05
  8.250E-02  5.18325E-07  5.73457E-16  2.04785E+01  0.00000E+00  1.0E-05
  8.500E-02  5.50215E-07  5.53462E-16  1.97645E+01  0.00000E+00  1.0E-05
  8.750E-02  5.83057E-07  5.31563E-16  1.89825E+01  0.00000E+00  1.0E-05
  9.000E-02  6.16850E-07  5.11214E-16  1.82558E+01  0.00000E+00  1.0E-05
  9.250E-02  6.51596E-07  4.92342E-16  1.75819E+01  0.00000E+00  1.0E-05
  9.500E-02  6.87293E-07  4.73200E-16  1.68983E+01  0.00000E+00  1.0E-05
  9.750E-02  7.23942E-07  4.54312E-16  1.62238E+01  0.00000E+00  1.0E-05
  1.000E-01  7.61543E-07  4.36786E-16  1.55979E+01  0.00000E+00  1.0E-05
  1.250E-01  1.18991E-06  2.89919E-16  1.03532E+01  0.00000E+00  1.0E-05
  1.500E-01  1.71347E-06  1.91437E-16  6.83633E+00  0.00000E+00  1.0E-05
  1.750E-01  2.33223E-06  1.27454E-16  4.55145E+00  0.00000E+00  1.0E-05
  2.000E-01  3.04617E-06  8.64832E-17  3.08837E+00  0.00000E+00  1.0E-05
  2.250E-01  3.85531E-06  5.98382E-17  2.13686E+00  0.00000E+00  1.0E-05
  2.500E-01  4.75964E-06  4.20374E-17  1.50118E+00  0.00000E+00  1.0E-05
  2.750E-01  5.75916E-06  3.03043E-17  1.08218E+00  0.00000E+00  1.0E-05
  3.000E-01  6.85388E-06  2.22973E-17  7.96250E-01  0.00000E+00  1.0E-05
  3.250E-01  8.04378E-06  1.66486E-17  5.94532E-01  0.00000E+00  1.0E-05
  3.500E-01  9.32888E-06  1.26403E-17  4.51395E-01  0.00000E+00  1.0E-05
  3.750E-01  1.07092E-05  9.77790E-18  3.49175E-01  0.00000E+00  1.0E-05
  4.000E-01  1.21846E-05  7.64461E-18  2.72994E-01  0.00000E+00  1.0E-05
  4.250E-01  1.37553E-05  6.06161E-18  2.16464E-01  0.00000E+00  1.0E-05
  4.500E-01  1.54212E-05  4.86551E-18  1.73750E-01  0.00000E+00  1.0E-05
  4.750E-01  1.71822E-05  3.94615E-18  1.40920E-01  0.00000E+00  1.0E-05
  5.000E-01  1.90385E-05  3.23011E-18  1.15349E-01  0.00000E+00  1.0E-05
  5.250E-01  2.09899E-05  2.66945E-18  9.53278E-02  0.00000E+00  1.0E-05
  5.500E-01  2.30365E-05  2.22487E-18  7.94515E-02  0.00000E+00  1.0E-05
  5.750E-01  2.51783E-05  1.86604E-18  6.66374E-02  0.00000E+00  1.0E-05
  6.000E-01  2.74153E-05  1.57895E-18  5.63852E-02  0.00000E+00  1.0E-05
  6.250E-01  2.97475E-05  1.34349E-18  4.79770E-02  0.00000E+00  1.0E-05
  6.500E-01  3.21749E-05  1.14959E-18  4.10525E-02  0.00000E+00  1.0E-05
  6.750E-01  3.46974E-05  9.89405E-19  3.53323E-02  0.00000E+00  1.0E-05
  7.000E-01  3.73152E-05  8.56805E-19  3.05970E-02  0.00000E+00  1.0E-05
  7.250E-01  4.00281E-05  7.44572E-19  2.65892E-02  0.00000E+00  1.0E-05
  7.500E-01  4.28362E-05  6.50580E-19  2.32326E-02  0.00000E+00  1.0E-05
  7.750E-01  4.57395E-05  5.70951E-19  2.03890E-02  0.00000E+00  1.0E-05
  8.000E-01  4.87380E-05  5.03466E-19  1.79791E-02  0.00000E+00  1.0E-05
  8.250E-01  5.18317E-05  4.44701E-19  1.58806E-02  0.00000E+00  1.0E-05
  8.500E-01  5.50205E-05  3.95167E-19  1.41117E-02  0.00000E+00  1.0E-05
  8.750E-01  5.83045E-05  3.52051E-19  1.25720E-02  0.00000E+00  1.0E-05
